subject, state, phase, time
2, start, 0, 2018-01-16T01:24:02.238744+00:00
2, stop, 0, 2018-01-16T01:24:14.847038+00:00
2, start, 0, 2018-01-16T01:24:20.902186+00:00
2, stop, 0, 2018-01-16T01:24:33.191360+00:00
2, start, 0, 2018-01-16T01:24:37.437798+00:00
2, stop, 0, 2018-01-16T01:24:49.498958+00:00
2, start, 1, 2018-01-16T01:25:26.569253+00:00
2, stop, 1, 2018-01-16T01:25:37.714807+00:00
2, start, 1, 2018-01-16T01:25:48.210282+00:00
2, stop, 1, 2018-01-16T01:26:00.186851+00:00
2, start, 1, 2018-01-16T01:26:08.347900+00:00
2, stop, 1, 2018-01-16T01:26:20.532899+00:00
2, start, 1, 2018-01-16T01:26:29.361745+00:00
2, stop, 1, 2018-01-16T01:26:41.240159+00:00
2, start, 1, 2018-01-16T01:26:50.619369+00:00
2, stop, 1, 2018-01-16T01:27:02.682586+00:00
2, start, 1, 2018-01-16T01:27:12.400150+00:00
2, stop, 1, 2018-01-16T01:27:24.597002+00:00
2, start, 1, 2018-01-16T01:27:36.744935+00:00
2, stop, 1, 2018-01-16T01:27:48.731680+00:00
2, start, 1, 2018-01-16T01:27:57.292475+00:00
2, stop, 1, 2018-01-16T01:28:09.260827+00:00
2, start, 1, 2018-01-16T01:28:16.339736+00:00
2, stop, 1, 2018-01-16T01:28:27.903880+00:00
2, start, 1, 2018-01-16T01:28:38.276817+00:00
2, stop, 1, 2018-01-16T01:28:50.087452+00:00
2, start, 1, 2018-01-16T01:29:00.811292+00:00
2, stop, 1, 2018-01-16T01:29:12.709388+00:00
2, start, 1, 2018-01-16T01:29:22.703670+00:00
2, stop, 1, 2018-01-16T01:29:34.881712+00:00
2, start, 2, 2018-01-16T01:29:58.866433+00:00
2, stop, 2, 2018-01-16T01:30:03.860043+00:00
2, start, 2, 2018-01-16T01:30:10.666979+00:00
2, stop, 2, 2018-01-16T01:30:16.008950+00:00
2, start, 3, 2018-01-16T01:30:25.209416+00:00
2, stop, 3, 2018-01-16T01:30:29.056885+00:00
2, start, 3, 2018-01-16T01:30:35.341608+00:00
2, stop, 3, 2018-01-16T01:30:42.104472+00:00
2, start, 3, 2018-01-16T01:31:34.884548+00:00
2, stop, 3, 2018-01-16T01:31:36.452920+00:00
2, start, 3, 2018-01-16T01:31:43.465352+00:00
2, stop, 3, 2018-01-16T01:31:45.451149+00:00
2, start, 3, 2018-01-16T01:31:49.781746+00:00
2, stop, 3, 2018-01-16T01:31:50.626130+00:00
2, start, 3, 2018-01-16T01:31:54.316386+00:00
2, stop, 3, 2018-01-16T01:31:55.450563+00:00
2, start, 3, 2018-01-16T01:32:00.040957+00:00
2, stop, 3, 2018-01-16T01:32:01.247274+00:00
2, start, 3, 2018-01-16T01:32:07.196973+00:00
2, stop, 3, 2018-01-16T01:32:08.687835+00:00
2, start, 3, 2018-01-16T01:32:59.097329+00:00
2, stop, 3, 2018-01-16T01:33:00.593561+00:00
2, start, 3, 2018-01-16T01:33:14.003443+00:00
2, stop, 3, 2018-01-16T01:33:18.165666+00:00
2, start, 3, 2018-01-16T01:33:23.894491+00:00
2, stop, 3, 2018-01-16T01:33:25.277204+00:00
