subject, action, screen, timestamp
1, start, 1, 1513358818.6148605
1, stop, 1, 1513358830.8349452
1, start, 1, 1513358841.7267296
1, stop, 1, 1513358853.8999045
1, start, 1, 1513358864.0572078
1, stop, 1, 1513358876.1366518
1, start, 1, 1513358887.2315538
1, stop, 1, 1513358899.4984972
1, start, 1, 1513358907.9056332
1, stop, 1, 1513358920.7976618
1, start, 1, 1513358928.9704123
1, stop, 1, 1513358941.29982
1, start, 1, 1513358951.1446457
1, stop, 1, 1513358961.6144855
1, start, 1, 1513358967.0681925
1, stop, 1, 1513358979.5539007
1, start, 1, 1513358990.0394204
1, stop, 1, 1513359002.3375807
1, start, 2, 1513359240.722406
1, stop, 2, 1513359262.146571
1, start, 3, 1513359275.960544
1, stop, 3, 1513359297.665952
1, start, 4, 1513359333.0916393
1, stop, 4, 1513359373.7834456
1, start, 4, 1513359383.6751573
1, stop, 4, 1513359416.006699
1, start, 4, 1513359421.3822749
1, stop, 4, 1513359457.6517954
1, start, 4, 1513359462.824193
1, stop, 4, 1513359481.3730454
1, start, 4, 1513359488.608224
1, stop, 4, 1513359520.5960069
1, start, 4, 1513359527.8780372
1, stop, 4, 1513359553.4432597
1, start, 4, 1513359558.381286
1, stop, 4, 1513359585.7748075
1, start, 4, 1513359590.3534455
1, stop, 4, 1513359620.2159784
